2025-04-01 01:42:26 INFO: Inserting from xml\Contrats_20200501_20200531.xml
2025-04-01 01:42:27 INFO: Inserting from xml\Depenses_20200501_20200531.xml
2025-04-01 01:42:27 INFO: Inserting from xml\AvisRevisions_20200501_20200531.xml
2025-04-01 01:46:42 INFO: Inserting from xml\ContratsRevisions_20200501_20200531.xml
2025-04-01 01:46:42 INFO: Inserting from xml\DepensesRevisions_20200501_20200531.xml
2025-04-01 01:46:42 INFO: Inserting from xml\Avis_20200601_20200630.xml
2025-04-01 02:43:03 INFO: Inserting from xml\Contrats_20200601_20200630.xml
2025-04-01 02:43:04 INFO: Inserting from xml\Depenses_20200601_20200630.xml
2025-04-01 02:43:05 INFO: Inserting from xml\AvisRevisions_20200601_20200630.xml
2025-04-01 02:50:40 INFO: Inserting from xml\ContratsRevisions_20200601_20200630.xml
2025-04-01 02:50:41 INFO: Inserting from xml\DepensesRevisions_20200601_20200630.xml
2025-04-01 02:50:41 INFO: Inserting from xml\Avis_20200701_20200731.xml
2025-04-01 03:39:36 INFO: Inserting from xml\Contrats_20200701_20200731.xml
2025-04-01 03:39:37 INFO: Inserting from xml\Depenses_20200701_20200731.xml
2025-04-01 03:39:37 INFO: Inserting from xml\AvisRevisions_20200701_20200731.xml
2025-04-01 03:43:28 INFO: Inserting from xml\ContratsRevisions_20200701_20200731.xml
2025-04-01 03:43:28 INFO: Inserting from xml\DepensesRevisions_20200701_20200731.xml
2025-04-01 03:43:28 INFO: Inserting from xml\Avis_20200801_20200831.xml
2025-04-01 04:11:07 INFO: Inserting from xml\Contrats_20200801_20200831.xml
2025-04-01 04:11:09 INFO: Inserting from xml\Depenses_20200801_20200831.xml
2025-04-01 04:11:09 INFO: Inserting from xml\AvisRevisions_20200801_20200831.xml
2025-04-01 04:17:06 INFO: Inserting from xml\ContratsRevisions_20200801_20200831.xml
2025-04-01 04:17:06 INFO: Inserting from xml\DepensesRevisions_20200801_20200831.xml
2025-04-01 04:17:06 INFO: Inserting from xml\Avis_20200901_20200930.xml
2025-04-01 04:51:12 INFO: Inserting from xml\Contrats_20200901_20200930.xml
2025-04-01 04:51:15 INFO: Inserting from xml\Depenses_20200901_20200930.xml
2025-04-01 04:51:15 INFO: Inserting from xml\AvisRevisions_20200901_20200930.xml
2025-04-01 04:57:29 INFO: Inserting from xml\ContratsRevisions_20200901_20200930.xml
2025-04-01 04:57:30 INFO: Inserting from xml\DepensesRevisions_20200901_20200930.xml
2025-04-01 04:57:30 INFO: Inserting from xml\Avis_20201001_20201031.xml
2025-04-01 05:29:59 INFO: Inserting from xml\Contrats_20201001_20201031.xml
2025-04-01 05:30:00 INFO: Inserting from xml\Depenses_20201001_20201031.xml
2025-04-01 05:30:01 INFO: Inserting from xml\AvisRevisions_20201001_20201031.xml
2025-04-01 05:34:30 INFO: Inserting from xml\ContratsRevisions_20201001_20201031.xml
2025-04-01 05:34:30 INFO: Inserting from xml\DepensesRevisions_20201001_20201031.xml
2025-04-01 05:34:30 INFO: Inserting from xml\Avis_20201101_20201130.xml
2025-04-01 06:06:50 INFO: Inserting from xml\Contrats_20201101_20201130.xml
2025-04-01 06:06:51 INFO: Inserting from xml\Depenses_20201101_20201130.xml
2025-04-01 06:06:52 INFO: Inserting from xml\AvisRevisions_20201101_20201130.xml
2025-04-01 06:16:36 INFO: Inserting from xml\ContratsRevisions_20201101_20201130.xml
2025-04-01 06:16:36 INFO: Inserting from xml\DepensesRevisions_20201101_20201130.xml
2025-04-01 06:16:37 INFO: Inserting from xml\Avis_20201201_20201231.xml
2025-04-01 06:51:51 INFO: Inserting from xml\Contrats_20201201_20201231.xml
2025-04-01 06:51:52 INFO: Inserting from xml\Depenses_20201201_20201231.xml
2025-04-01 06:51:53 INFO: Inserting from xml\AvisRevisions_20201201_20201231.xml
2025-04-01 06:59:05 INFO: Inserting from xml\ContratsRevisions_20201201_20201231.xml
2025-04-01 06:59:05 INFO: Inserting from xml\DepensesRevisions_20201201_20201231.xml
2025-04-01 06:59:05 INFO: Inserting from xml\Avis_20210101_20210131.xml
2025-04-01 07:30:26 INFO: Inserting from xml\Contrats_20210101_20210131.xml
